date,settle
2008-01-31,138.14999389648438
2008-02-29,164.60000610351562
2008-03-31,127.4000015258789
2008-04-30,134.5500030517578
2008-05-31,133.89999389648438
2008-06-30,150.89999389648438
2008-07-31,139.35000610351562
2008-08-31,141.89999389648438
2008-09-30,130.4499969482422
2008-10-31,113.0
2008-11-30,114.0999984741211
2008-12-31,112.05000305175781
2009-01-31,118.9000015258789
2009-02-28,109.44999694824219
2009-03-31,115.75
2009-04-30,115.0
2009-05-31,137.39999389648438
2009-06-30,117.30000305175781
2009-07-31,127.8499984741211
2009-08-31,120.9000015258789
2009-09-30,127.80000305175781
2009-10-31,135.5
2009-11-30,141.75
2009-12-31,135.9499969482422
2010-01-31,131.6999969482422
2010-02-28,129.0500030517578
2010-03-31,136.14999389648438
2010-04-30,135.1999969482422
2010-05-31,134.25
2010-06-30,164.1999969482422
2010-07-31,176.3000030517578
2010-08-31,176.8000030517578
2010-09-30,183.0500030517578
2010-10-31,203.4499969482422
2010-11-30,200.9499969482422
2010-12-31,240.5
2011-01-31,244.8000030517578
2011-02-28,271.70001220703125
2011-03-31,264.1499938964844
2011-04-30,299.3500061035156
2011-05-31,264.6000061035156
2011-06-30,265.3500061035156
2011-07-31,239.5500030517578
2011-08-31,289.1000061035156
2011-09-30,228.89999389648438
2011-10-31,226.9499969482422
2011-11-30,233.8000030517578
2011-12-31,226.85000610351562
2012-01-31,215.0500030517578
2012-02-29,203.14999389648438
2012-03-31,182.4499969482422
2012-04-30,177.9499969482422
2012-05-31,160.64999389648438
2012-06-30,170.10000610351562
2012-07-31,174.39999389648438
2012-08-31,164.5500030517578
2012-09-30,173.5
2012-10-31,154.64999389648438
2012-11-30,142.10000610351562
2012-12-31,143.8000030517578
2013-01-31,146.9499969482422
2013-02-28,142.64999389648438
2013-03-31,137.14999389648438
2013-04-30,134.9499969482422
2013-05-31,127.05000305175781
2013-06-30,120.0
2013-07-31,118.5999984741211
2013-08-31,112.0999984741211
2013-09-30,113.69999694824219
2013-10-31,105.4000015258789
2013-11-30,110.25
2013-12-31,110.69999694824219
2014-01-31,125.19999694824219
2014-02-28,179.8000030517578
2014-03-31,177.89999389648438
2014-04-30,203.0500030517578
2014-05-31,177.5
2014-06-30,173.0
2014-07-31,195.0500030517578
2014-08-31,195.75
2014-09-30,193.35000610351562
2014-10-31,188.0
2014-11-30,186.64999389648438
2014-12-31,166.60000610351562
2015-01-31,161.89999389648438
2015-02-28,136.75
2015-03-31,132.89999389648438
2015-04-30,136.5500030517578
2015-05-31,126.1500015258789
2015-06-30,130.64999389648438
2015-07-31,125.25
2015-08-31,120.55000305175781
2015-09-30,121.3499984741211
2015-10-31,120.94999694824219
2015-11-30,116.9000015258789
2015-12-31,126.69999694824219
2016-01-31,116.3499984741211
2016-02-29,112.6500015258789
2016-03-31,127.44999694824219
2016-04-30,120.8499984741211
2016-05-31,121.55000305175781
2016-06-30,144.10000610351562
2016-07-31,146.1999969482422
2016-08-31,145.89999389648438
2016-09-30,151.5500030517578
2016-10-31,164.14999389648438
2016-11-30,147.5
2016-12-31,137.0500030517578
2017-01-31,149.5500030517578
2017-02-28,140.6999969482422
2017-03-31,139.3000030517578
2017-04-30,131.0500030517578
2017-05-31,129.35000610351562
2017-06-30,124.05000305175781
2017-07-31,139.25
2017-08-31,128.14999389648438
2017-09-30,128.0500030517578
2017-10-31,125.0999984741211
2017-11-30,126.30000305175781
2017-12-31,126.19999694824219
2018-01-31,121.8499984741211
2018-02-28,121.05000305175781
2018-03-31,118.1500015258789
2018-04-30,120.6500015258789
2018-05-31,123.69999694824219
2018-06-30,111.5
2018-07-31,109.9000015258789
2018-08-31,98.0999984741211
2018-09-30,102.44999694824219
2018-10-31,112.69999694824219
2018-11-30,103.25
2018-12-31,101.8499984741211
2019-01-31,105.9000015258789
2019-02-28,95.19999694824219
2019-03-31,94.5
2019-04-30,91.8499984741211
2019-05-31,104.5999984741211
2019-06-30,108.25
2019-07-31,99.6500015258789
2019-08-31,93.5999984741211
2019-09-30,101.1500015258789
2019-10-31,101.94999694824219
2019-11-30,118.55000305175781
2019-12-31,129.6999969482422
2020-01-31,102.6500015258789
2020-02-29,110.0999984741211
2020-03-31,119.55000305175781
2020-04-30,104.6500015258789
2020-05-31,96.30000305175781
2020-06-30,100.05000305175781
2020-07-31,118.94999694824219
2020-08-31,129.8000030517578
2020-09-30,110.94999694824219
2020-10-31,104.4000015258789
2020-11-30,120.69999694824219
2020-12-31,128.25
2021-01-31,122.94999694824219
2021-02-28,136.85000610351562
2021-03-31,123.5
2021-04-30,139.9499969482422
2021-05-31,162.35000610351562
2021-06-30,159.35000610351562
2021-07-31,179.5500030517578
2021-08-31,193.4499969482422
2021-09-30,194.0
2021-10-31,203.9499969482422
2021-11-30,233.25
2021-12-31,226.10000610351562
2022-01-31,235.10000610351562
2022-02-28,234.25
2022-03-31,226.39999389648438
2022-04-30,222.5500030517578
2022-05-31,231.25
2022-06-30,233.60000610351562
2022-07-31,217.1999969482422
2022-08-31,239.10000610351562
2022-09-30,221.5500030517578
2022-10-31,177.6999969482422
2022-11-30,167.6999969482422
2022-12-31,167.3000030517578
2023-01-31,181.75
2023-02-28,190.39999389648438
2023-03-31,170.5
2023-04-30,189.85000610351562
2023-05-31,178.64999389648438
2023-06-30,161.0
2023-07-31,164.64999389648438
2023-08-31,152.6999969482422
2023-09-30,146.14999389648438
2023-10-31,167.3000030517578
2023-11-30,195.0
2023-12-31,188.3000030517578
2024-01-31,194.0500030517578
2024-02-29,195.85000610351562
2024-03-31,188.85000610351562
2024-04-30,220.64999389648438
2024-05-31,222.35000610351562
2024-06-30,228.9499969482422
2024-07-31,229.1999969482422
2024-08-31,248.1999969482422
2024-09-30,270.25
2024-10-31,245.89999389648438
2024-11-30,321.6499938964844
2024-12-31,319.75
2025-01-31,377.8500061035156
2025-02-28,379.04998779296875
2025-03-31,379.75
2025-04-30,413.6000061035156
2025-05-31,342.45001220703125
2025-06-30,306.75
2025-07-31,295.79998779296875
2025-08-31,396.8500061035156
2025-09-30,374.8500061035156
2025-10-31,392.04998779296875
2025-11-30,413.0
2025-12-31,348.75
2026-01-31,332.25
2026-02-28,284.6000061035156
2026-03-31,298.3500061035156
2026-04-30,300.8999938964844
2026-05-31,268.29998779296875
