date,stu,stu_z_score,stu_delta,months_of_consumption,stu_stress
2000-12-31,85.04733300383987,,,10.205679960460785,
2001-12-31,91.46690843155032,,6.4195754277104555,10.97602901178604,
2002-12-31,41.346111805804526,,-50.1207966257458,4.961533416696543,
2003-12-31,33.52297369696661,,-7.823138108837917,4.022756843635992,
2004-12-31,35.216496613221295,,1.693522916254686,4.225979593586555,
2005-12-31,26.03335171113295,,-9.183144902088344,3.1240022053359544,
2006-12-31,28.713651569737518,,2.6802998586045668,3.4456381883685023,
2007-12-31,24.364663170633317,,-4.348988399104201,2.923759580475998,
2008-12-31,31.45621966043522,,7.091556489801903,3.7747463592522266,
2009-12-31,20.722578235006754,,-10.733641425428466,2.4867093882008104,
2010-12-31,21.1352835256959,-0.818954793721082,0.4127052906891464,2.536234023083508,0.7047386984302705
2011-12-31,18.026898922502816,-0.837582052132645,-3.108384603193084,2.1632278707003376,0.7093955130331613
2012-12-31,24.661785216178522,-0.4598240195366157,6.634886293675706,2.9594142259414227,0.6149560048841539
2013-12-31,28.624450051085304,0.3899402347564283,3.962664834906782,3.4349340061302365,0.40251494131089294
2014-12-31,29.308997506166634,0.649727980501548,0.6845474550813293,3.517079700739996,0.337568004874613
2015-12-31,22.816053686368207,-0.5731519232772815,-6.492943819798427,2.7379264423641847,0.6432879808193204
2016-12-31,23.502295234165462,-0.3364603936464536,0.6862415477972554,2.8202754280998557,0.5841150984116134
2017-12-31,19.8914254764143,-1.084399046516142,-3.6108697577511606,2.386971057169716,0.7710997616290355
2018-12-31,22.256224285103283,-0.3945481555123897,2.364798808688981,2.670746914212394,0.5986370388780974
2019-12-31,22.055372486218474,-0.2869959297906185,-0.20085179888480909,2.646644698346217,0.5717489824476546
2020-12-31,23.13116544206104,-0.027259811149392136,1.0757929558425658,2.7757398530473245,0.506814952787348
2021-12-31,19.025947723319593,-1.267584764584547,-4.1052177187414465,2.283113726798351,0.8168961911461368
2022-12-31,15.96051056567548,-2.285846341468362,-3.065437157644112,1.9152612678810579,1.0
2023-12-31,14.10298638559508,-2.1164666556410054,-1.8575241800804,1.6923583662714097,1.0
2024-12-31,12.81431756918043,-1.9686137746740195,-1.288668816414651,1.5377181083016516,0.9921534436685049
2025-12-31,14.049429548192945,-1.3909804036914981,1.2351119790125153,1.6859315457831534,0.8477451009228745
