date,net,cot_index
2021-07-31,39783.0,93.01213974494893
2021-08-31,39415.0,92.78662605786143
2021-09-30,43158.0,94.11596561050155
2021-10-31,52237.0,99.85111806700414
2021-11-30,57738.0,99.35449353103851
2021-12-31,48675.0,93.0571575480482
2022-01-31,52559.0,95.75591656359872
2022-02-28,56185.0,98.27540682888868
2022-03-31,23790.0,75.76606122931113
2022-04-30,27723.0,78.49886741060882
2022-05-31,32665.0,79.4799352878507
2022-06-30,33785.0,80.36380854673874
2022-07-31,19965.0,69.4574438701022
2022-08-31,44015.0,88.43704375961804
2022-09-30,37528.0,83.31768141104052
2022-10-31,2179.0,43.71014030612245
2022-11-30,-25017.0,3.5443008794476656
2022-12-31,-19359.0,10.06581449763137
2023-01-31,-11935.0,28.624287274050708
2023-02-28,12559.0,53.386711957620605
2023-03-31,11013.0,51.82376966314853
2023-04-30,35237.0,76.31323547252214
2023-05-31,19560.0,60.46443446965102
2023-06-30,776.0,41.47458449593594
2023-07-31,-14263.0,26.270775203202717
2023-08-31,-32176.0,8.161470338469003
2023-09-30,-21501.0,18.953455457155567
2023-10-31,14312.0,55.15892272230984
2023-11-30,28271.0,69.27089651825791
2023-12-31,44169.0,85.34311941445267
2024-01-31,52741.0,94.00905819078814
2024-02-29,46089.0,87.28416029762627
2024-03-31,49501.0,90.73355170043268
2024-04-30,69648.0,97.19635260509256
2024-05-31,57013.0,86.0215624364315
2024-06-30,65158.0,93.2252558217694
2024-07-31,55275.0,84.48442074168413
2024-08-31,58154.0,87.0306986123272
2024-09-30,61472.0,89.96524184775399
2024-10-31,56436.0,85.51124554467705
2024-11-30,62500.0,90.87443728055047
2024-12-31,56908.0,85.92869714417115
2025-01-31,66006.0,93.97525361069101
2025-02-28,58857.0,87.65245385479406
2025-03-31,55702.0,84.86207293020952
2025-04-30,44404.0,74.8697674829968
2025-05-31,36954.0,68.28075388928688
2025-06-30,26376.0,58.92523901757365
2025-07-31,26324.0,58.87924858712091
2025-08-31,31441.0,63.40488382994154
2025-09-30,40975.0,71.83705236718052
2025-10-31,49720.0,79.57140456543465
2025-11-30,38494.0,69.64277817577188
2025-12-31,30403.0,62.48684408359645
