date,settle,price_pos,trailing_yoy,buy_signal
2000-01-31,53.1792,,,0.0
2000-02-29,48.861,,,0.0
2000-03-31,46.2483,,,0.0
2000-04-30,44.4521,,,0.0
2000-05-31,44.3206,,,0.0
2000-06-30,42.6786,,,0.0
2000-07-31,40.8188,,,0.0
2000-08-31,38.2515,0.0,,1.0
2000-09-30,38.8321,0.03889413640413438,,1.0
2000-10-31,36.1377,0.0,,1.0
2000-11-30,32.8084,0.0,,1.0
2000-12-31,30.3817,0.0,,1.0
2001-01-31,32.4001,0.10922491652822366,-0.3907373559587207,1.0
2001-02-28,31.5791,0.07546670364161204,-0.35369517611182744,1.0
2001-03-31,30.5223,0.009992608596770716,-0.3400341201730658,1.0
2001-04-30,28.4902,0.0,-0.35908089831526513,1.0
2001-05-31,29.538,0.07384905979532566,-0.33353790336773415,1.0
2001-06-30,29.1706,0.055188748114141,-0.3165052274441993,1.0
2001-07-31,27.4288,0.0,-0.3280351210716631,1.0
2001-08-31,25.8185,0.0,-0.3250330052416245,1.0
2001-09-30,24.2718,0.0,-0.3749552560896784,1.0
2001-10-31,23.2421,0.0,-0.35684617449367284,1.0
2001-11-30,23.6821,0.04804542476523233,-0.2781696150985723,1.0
2001-12-31,24.3489,0.12085608211399865,-0.1985669004696906,1.0
2002-01-31,22.8112,0.0,-0.2959527902691659,1.0
2002-02-28,24.3715,0.20234467196638628,-0.2282395635087764,1.0
2002-03-31,29.098,0.9345899982160907,-0.04666424220979426,0.0
2002-04-30,29.3384,0.9703276446452994,0.029771640774722385,0.0
2002-05-31,28.3178,0.8436389263390118,-0.041309499627598445,0.0
2002-06-30,28.4221,0.859618213016301,-0.025659396789918576,0.0
2002-07-31,28.599,0.8867201862973404,0.04266318614011544,0.0
2002-08-31,27.8778,0.7762287044981003,0.07976063675271616,0.0
2002-09-30,32.0781,1.0,0.3216201517810793,0.0
2002-10-31,33.33,1.0,0.4340356508232903,0.0
2002-11-30,37.9113,1.0,0.6008419861414318,0.0
2002-12-31,38.061,1.0,0.5631506967460542,0.0
2003-01-31,41.18,1.0,0.8052535596549064,0.0
2003-02-28,40.67,0.9616604772142955,0.6687524362472561,0.0
2003-03-31,37.17,0.6985461051555383,0.27740738195064973,0.0
2003-04-30,37.42,0.717339988874021,0.27546151119352125,0.0
2003-05-31,37.8,0.7459066921261143,0.3348494586443862,0.0
2003-06-30,34.21,0.4760265219287036,0.20364082879167977,0.0
2003-07-31,35.35,0.5617266316849845,0.23605720479737058,0.0
2003-08-31,36.3,0.4638482075171116,0.30211135742418693,0.0
2003-09-30,37.35,0.5121019108280258,0.16434576860848993,0.0
2003-10-31,35.88,0.2395982783357248,0.0765076507650766,1.0
2003-11-30,34.11,0.0,-0.10026825774900883,1.0
2003-12-31,35.9,0.25318246110325304,-0.05677727857912307,1.0
2004-01-31,39.84,0.8734756097560978,-0.03254006799417186,0.0
2004-02-29,37.05,0.5130890052356013,-0.08900909761494968,0.0
2004-03-31,36.7,0.4520069808027926,-0.012644605864944869,0.0
2004-04-30,36.37,0.3944153577661425,-0.02805986103687874,0.0
2004-05-31,36.56,0.4275741710296686,-0.032804232804232725,0.0
2004-06-30,39.87,1.0,0.1654486992107569,0.0
2004-07-31,36.02,0.331597222222223,0.018953323903819097,0.0
2004-08-31,33.91,0.0,-0.06584022038567494,1.0
2004-09-30,34.24,0.05536912751677942,-0.08326639892904952,1.0
2004-10-31,31.67,0.0,-0.11733556298773695,1.0
2004-11-30,32.71,0.1268292682926829,-0.04104368220463206,1.0
2004-12-31,36.72,0.6158536585365854,0.022841225626740957,0.0
2005-01-31,36.96,0.6451219512195124,-0.07228915662650603,0.0
2005-02-28,41.24,1.0,0.11309041835357636,0.0
2005-03-31,49.51,1.0,0.34904632152588544,0.0
2005-04-30,50.75,1.0,0.3953808083585373,0.0
2005-05-31,56.07,1.0,0.5336433260393871,0.0
2005-06-30,60.02,1.0,0.505392525708553,0.0
2005-07-31,57.88,0.9245149911816578,0.6068850638534147,0.0
2005-08-31,51.97,0.7160493827160492,0.5325862577410794,0.0
2005-09-30,46.87,0.5361552028218693,0.3688668224299063,0.0
2005-10-31,47.53,0.5426583668985719,0.5007893905904641,0.0
2005-11-30,51.45,0.6321888412017168,0.572913482115561,0.0
2005-12-31,56.39,0.8425845620121422,0.5356753812636166,0.0
2006-01-31,63.39,1.0,0.7150974025974026,0.0
2006-02-28,62.98,0.9751815980629538,0.5271580989330746,0.0
2006-03-31,59.6,0.7705811138014529,0.20379721268430617,0.0
2006-04-30,60.55,0.8280871670702178,0.193103448275862,0.0
2006-05-31,60.08,0.7996368038740919,0.0715177456750491,0.0
2006-06-30,60.23,0.8087167070217915,0.003498833722092476,0.0
2006-07-31,64.49,1.0,0.11420179682100895,0.0
2006-08-31,73.59,1.0,0.41600923609774876,0.0
2006-09-30,77.11,1.0,0.6451888201408151,0.0
2006-10-31,75.17,0.9243959469992207,0.5815274563433621,0.0
2006-11-30,76.79,0.9845559845559849,0.49251700680272115,0.0
2006-12-31,76.67,0.974871501998858,0.35963823372938464,0.0
2007-01-31,79.13,1.0,0.2483041489193878,0.0
2007-02-28,79.08,0.9974398361495137,0.25563671006668787,0.0
2007-03-31,77.0,0.888188976377953,0.2919463087248322,0.0
2007-04-30,79.58,1.0,0.3142857142857143,0.0
2007-05-31,83.91,1.0,0.3966378162450066,0.0
2007-06-30,92.68,1.0,0.5387680557861532,0.0
2007-07-31,92.51,0.9910948140387636,0.4344859668165608,0.0
2007-08-31,87.44,0.7007424328954879,0.18820491914662307,0.0
2007-09-30,92.78,1.0,0.2032161846712488,0.0
2007-10-31,91.1,0.8957169459962752,0.21191964879606218,0.0
2007-11-30,92.59,0.9882060831781504,0.20575595780700606,0.0
2007-12-31,91.39,0.9119138149556401,0.19199165253684614,0.0
2008-01-31,99.21,1.0,0.2537596360419563,0.0
2008-02-29,115.45,1.0,0.4599140111279718,0.0
2008-03-31,121.92,1.0,0.5833766233766233,0.0
2008-04-30,111.29,0.720336753485925,0.3984669514953507,0.0
2008-05-31,108.88,0.6218097447795822,0.2975807412704088,0.0
2008-06-30,111.34,0.693155452436195,0.2013379369874837,0.0
2008-07-31,115.23,0.8059744779582367,0.24559507080315646,0.0
2008-08-31,112.56,0.6963011031797535,0.2872827081427265,0.0
2008-09-30,105.38,0.46333549643088895,0.13580513041603792,0.0
2008-10-31,88.77,0.0,-0.025576289791438,1.0
2008-11-30,90.76,0.06003016591251912,-0.01976455340749539,1.0
2008-12-31,82.51,0.0,-0.09716599190283393,1.0
2009-01-31,82.74,0.005836082212636128,-0.1660114907771394,1.0
2009-02-28,80.22,0.0,-0.30515374621048075,1.0
2009-03-31,76.31,0.0,-0.3740977690288714,1.0
2009-04-30,75.53,0.0,-0.32132267050049423,1.0
2009-05-31,75.62,0.0022670025188917735,-0.3054739162380602,1.0
2009-06-30,73.79,0.0,-0.33725525417639657,1.0
2009-07-31,71.68,0.0,-0.37793977262865575,1.0
2009-08-31,72.35,0.019881305637981832,-0.35723169864960913,1.0
2009-09-30,73.82,0.1121593291404605,-0.2994875687986336,1.0
2009-10-31,73.51,0.09591194968553451,-0.17190492283429082,1.0
2009-11-30,69.48,0.0,-0.23446452181577793,1.0
2009-12-31,69.886,0.030618401206635896,-0.1529996364077083,1.0
2010-01-31,70.08,0.055865921787708994,-0.15300942712110221,1.0
2010-02-28,67.88,0.0,-0.15382697581650462,1.0
2010-03-31,67.25,0.0,-0.11872624819813915,1.0
2010-04-30,71.52,0.5101553166069288,-0.053091486826426615,0.0
2010-05-31,70.61,0.5114155251141557,-0.06625231420259192,0.0
2010-06-30,76.92,1.0,0.04241767177124256,0.0
2010-07-31,85.27,1.0,0.18959263392857117,0.0
2010-08-31,82.68,0.8562708102108774,0.14277816171389102,0.0
2010-09-30,81.28,0.7785793562708104,0.10105662422107842,0.0
2010-10-31,85.27,1.0,0.15997823425384294,0.0
2010-11-30,92.04,1.0,0.3246977547495682,0.0
2010-12-31,94.09,1.0,0.3463354606072748,0.0
2011-01-31,101.09,1.0,0.4424942922374431,0.0
2011-02-28,109.35,1.0,0.6109310548025928,0.0
2011-03-31,118.13,1.0,0.7565799256505576,0.0
2011-04-30,117.37,0.9840067340067342,0.6410794183445192,0.0
2011-05-31,121.98,1.0,0.727517348817448,0.0
2011-06-30,117.95,0.9009828009828009,0.5334113364534581,0.0
2011-07-31,112.73,0.7727272727272727,0.32203588600914745,0.0
2011-08-31,112.07,0.7565110565110562,0.3554668601838411,0.0
2011-09-30,106.06,0.5663307000817216,0.30487204724409445,0.0
2011-10-31,98.1,0.2024048096192381,0.15046323443180487,1.0
2011-11-30,97.24,0.11294370742201475,0.05649717514124286,1.0
2011-12-31,98.41,0.047291835084882834,0.04591348708683163,1.0
2012-01-31,96.72,0.0,-0.04322880601444257,1.0
2012-02-29,101.93,0.20625494853523385,-0.06785550983081834,1.0
2012-03-31,103.57,0.271179730799683,-0.1232540421569458,1.0
2012-04-30,101.8,0.20110847189231976,-0.13265740819630234,1.0
2012-05-31,106.88,0.4785680640602918,-0.1237907853746516,0.0
2012-06-30,105.7,0.560899437851343,-0.10385756676557867,0.0
2012-07-31,107.06,0.6736156351791536,-0.05029717022975255,0.0
2012-08-31,106.5209,0.9478626692456475,-0.049514589096100625,0.0
2012-09-30,104.95,0.7959381044487429,-0.010465774090137603,0.0
2012-10-31,104.47,0.7495164410058025,0.06493374108053018,0.0
2012-11-30,97.67,0.09187620889748574,0.004422048539695744,1.0
2012-12-31,96.59,0.0,-0.018494055482166427,1.0
2013-01-31,99.69,0.29608404966571106,0.030707196029776673,1.0
2013-02-28,104.03,0.7106017191977076,0.02060237417835764,0.0
2013-03-31,106.26,0.9235912129894941,0.025972772038235226,0.0
2013-04-30,101.68,0.48615090735434613,-0.0011787819253437082,0.0
2013-05-31,99.1752,0.24691499522445087,-0.0720883233532933,1.0
2013-06-30,90.7855,0.0,-0.14110217596972563,1.0
2013-07-31,95.207,0.2809906325863972,-0.11071361853166461,1.0
2013-08-31,94.0109,0.20843322886038362,-0.11744174147984099,1.0
2013-09-30,87.7767,0.0,-0.1636331586469747,1.0
2013-10-31,83.7,0.0,-0.19881305637982194,1.0
2013-11-30,79.7062,0.0,-0.183923415583086,1.0
2013-12-31,87.89,0.30819694356363314,-0.09007143596645617,0.0
2014-01-31,87.73,0.3021714406224347,-0.11997191293008325,0.0
2014-02-28,95.9,0.6098486845573893,-0.07815053349995194,0.0
2014-03-31,105.37,1.0,-0.008375682288725761,0.0
