observed_date,feature_name,value
2022-01-31,production_mt:nilgiris:arabica,1100.0
2022-01-31,production_mt:nilgiris:robusta,4270.0
2022-01-31,production_mt:nilgiris:total,5370.0
2022-01-31,production_mt:north_eastern_region:arabica,70.0
2022-01-31,production_mt:north_eastern_region:robusta,90.0
2022-01-31,production_mt:north_eastern_region:total,160.0
2022-01-31,production_mt:odisha:arabica,600.0
2022-01-31,production_mt:odisha:robusta,0.0
2022-01-31,production_mt:odisha:total,600.0
2022-01-31,production_mt:pulneys:arabica,7430.0
2022-01-31,production_mt:pulneys:robusta,450.0
2022-01-31,production_mt:pulneys:total,7880.0
2022-01-31,production_mt:shevaroy_salem:arabica,3750.0
2022-01-31,production_mt:shevaroy_salem:robusta,50.0
2022-01-31,production_mt:shevaroy_salem:total,3800.0
2022-01-31,production_mt:travancore:arabica,850.0
2022-01-31,production_mt:travancore:robusta,7300.0
2022-01-31,production_mt:travancore:total,8150.0
2022-01-31,production_mt:wayanad:arabica,0.0
2022-01-31,production_mt:wayanad:robusta,58100.0
2022-01-31,production_mt:wayanad:total,58100.0
2024-07-31,production_mt:anaamalais_coimbatore:arabica,800.0
2024-07-31,production_mt:anaamalais_coimbatore:robusta,550.0
2024-07-31,production_mt:anaamalais_coimbatore:total,1350.0
2024-07-31,production_mt:andhra_pradesh:arabica,12170.0
2024-07-31,production_mt:andhra_pradesh:robusta,40.0
2024-07-31,production_mt:andhra_pradesh:total,12210.0
2024-07-31,production_mt:chikkamagaluru:arabica,37875.0
2024-07-31,production_mt:chikkamagaluru:robusta,47280.0
2024-07-31,production_mt:chikkamagaluru:total,85155.0
2024-07-31,production_mt:hassan:arabica,15850.0
2024-07-31,production_mt:hassan:robusta,20950.0
2024-07-31,production_mt:hassan:total,36800.0
2024-07-31,production_mt:india:arabica,101500.0
2024-07-31,production_mt:india:robusta,259000.0
2024-07-31,production_mt:india:total,360500.0
2024-07-31,production_mt:kodagu:arabica,19220.0
2024-07-31,production_mt:kodagu:robusta,113400.0
2024-07-31,production_mt:kodagu:total,132620.0
2024-07-31,production_mt:nelliampathies:arabica,1100.0
2024-07-31,production_mt:nelliampathies:robusta,1650.0
2024-07-31,production_mt:nelliampathies:total,2750.0
2024-07-31,production_mt:nilgiris:arabica,1175.0
2024-07-31,production_mt:nilgiris:robusta,4450.0
2024-07-31,production_mt:nilgiris:total,5625.0
2024-07-31,production_mt:north_eastern_region:arabica,70.0
2024-07-31,production_mt:north_eastern_region:robusta,90.0
2024-07-31,production_mt:north_eastern_region:total,160.0
2024-07-31,production_mt:odisha:arabica,465.0
2024-07-31,production_mt:odisha:robusta,0.0
2024-07-31,production_mt:odisha:total,465.0
2024-07-31,production_mt:pulneys:arabica,7950.0
2024-07-31,production_mt:pulneys:robusta,490.0
2024-07-31,production_mt:pulneys:total,8440.0
2024-07-31,production_mt:shevaroy_salem:arabica,3925.0
2024-07-31,production_mt:shevaroy_salem:robusta,0.0
2024-07-31,production_mt:shevaroy_salem:total,3925.0
2024-07-31,production_mt:travancore:arabica,900.0
2024-07-31,production_mt:travancore:robusta,8150.0
2024-07-31,production_mt:travancore:total,9050.0
2024-07-31,production_mt:wayanad:arabica,0.0
2024-07-31,production_mt:wayanad:robusta,61950.0
2024-07-31,production_mt:wayanad:total,61950.0
