date,price_pos_52w,price_pos_78w,price_pos_104w,stu_wmt,oni_lag0,oni_lag6,oni_lag12,oni_lag15,oni_lag18,oni_lag24,spi3_nolook,flowering_drought_nolook,cot_index,rv_daily,rv_monthly
2012-06-30,0.07356957033059716,0.06813274243210335,0.06813274243210335,19.195105428063343,-0.17,-1.02,-0.46,-1.04,-1.64,-0.17,-0.5115274762584184,0.5115274762584184,3.0012678862524904,2.8866371629630625,0.1341896083970982
2012-07-31,0.10704553283995201,0.09913481463488262,0.09913481463488262,19.195105428063343,0.06,-0.92,-0.37,-0.8,-1.54,-0.66,-0.5115274762584184,0.5115274762584184,27.212461510595908,2.4294914983323235,0.12435011253111708
2012-08-31,0.05331522443141462,0.028118304340536537,0.028118304340536537,19.195105428063343,0.3,-0.72,-0.43,-0.62,-1.31,-1.05,-0.5115274762584184,0.5115274762584184,0.2807462416228944,0.9377419784038646,0.09238207539138425
2012-09-30,0.17566650027670241,0.0926460344093914,0.0926460344093914,19.195105428063343,0.41,-0.57,-0.58,-0.46,-1.04,-1.35,-0.5115274762584184,0.5115274762584184,21.429809358752166,3.051125697048897,0.040670767357951484
2012-10-31,0.0,0.0,0.0,19.195105428063343,0.41,-0.46,-0.79,-0.37,-0.8,-1.56,-0.5115274762584184,0.5115274762584184,8.892547660311958,2.0780044822885895,0.05382559334595419
2012-11-30,0.0,0.0,0.0,19.195105428063343,0.31,-0.36,-0.96,-0.43,-0.62,-1.64,-0.5115274762584184,0.5115274762584184,1.68555196333846,2.523810579643056,0.06010415231734308
2012-12-31,0.023303591766403096,0.011564605090082909,0.010810791403765898,19.73290515162018,0.13,-0.17,-1.02,-0.58,-0.46,-1.64,-0.28999312633872854,0.28999312633872854,5.467842681816755,3.4948397203990744,0.059334928136667055
2013-01-31,0.07944294536427644,0.032993134998139884,0.03084254909206081,19.73290515162018,-0.1,0.06,-0.92,-0.79,-0.37,-1.54,-0.28999312633872854,0.28999312633872854,26.702030823315233,1.858680730247053,0.05695093778058377
2013-02-28,0.013630431666891672,0.005997686055313362,0.0034975376341414943,19.73290515162018,-0.29,0.3,-0.72,-0.96,-0.43,-1.31,-0.28999312633872854,0.28999312633872854,6.260397375937726,0.7051743335725793,0.054592361698121365
2013-03-31,0.0,0.0,0.0,19.73290515162018,-0.29,0.41,-0.57,-1.02,-0.58,-1.04,-0.28999312633872854,0.28999312633872854,0.4687166020336499,0.9494692200088675,0.04458886767061573
2013-04-30,0.0,0.0,0.0,19.73290515162018,-0.21,0.41,-0.46,-0.92,-0.79,-0.8,-0.28999312633872854,0.28999312633872854,11.48584689608843,1.2731387946458075,0.044226685988401473
2013-05-31,0.0,0.0,0.0,19.73290515162018,-0.19,0.31,-0.36,-0.72,-0.96,-0.62,-0.28999312633872854,0.28999312633872854,12.395798344987632,1.4116189692062946,0.03740553764942381
2013-06-30,0.0,0.0,0.0,21.516935114369296,-0.27,0.13,-0.17,-0.57,-1.02,-0.46,-0.28999312633872854,0.28999312633872854,0.0,1.6151309967769323,0.03739759782549924
2013-07-31,0.0,0.0,0.0,21.516935114369296,-0.34,-0.1,0.06,-0.46,-0.92,-0.37,-0.28999312633872854,0.28999312633872854,21.051447764998727,2.4072981250629115,0.03691206607716171
2013-08-31,0.0,0.0,0.0,21.516935114369296,-0.35,-0.29,0.3,-0.36,-0.72,-0.43,-0.28999312633872854,0.28999312633872854,7.280564634550708,1.228705996462268,0.03670918828778042
2013-09-30,0.03760278839607551,0.024297623556512365,0.013147069958410827,21.516935114369296,-0.28,-0.29,0.41,-0.17,-0.57,-0.58,-0.28999312633872854,0.28999312633872854,6.013950049821607,1.4073811816046253,0.03410494496107318
