date,settle,price_pos,trailing_yoy,buy_signal
2000-01-31,111.1121,,,0.0
2000-02-29,103.4419,,,0.0
2000-03-31,100.7294,,,0.0
2000-04-30,94.6104,,,0.0
2000-05-31,94.1477,,,0.0
2000-06-30,86.4412,,,0.0
2000-07-31,87.3484,,,0.0
2000-08-31,76.9203,0.0,,1.0
2000-09-30,75.7818,0.0,,1.0
2000-10-31,76.6617,0.024904968256708612,,1.0
2000-11-30,71.5407,0.0,,1.0
2000-12-31,66.1611,0.0,,1.0
2001-01-31,65.9796,0.0,-0.40618888491892413,1.0
2001-02-28,67.1907,0.034851999148196595,-0.3504498660600781,1.0
2001-03-31,66.5013,0.018221635441552305,-0.3398024807057324,1.0
2001-04-30,66.1293,0.005314522456253554,-0.30103561553486724,1.0
2001-05-31,69.2183,0.15156209052450278,-0.2647903241396232,1.0
2001-06-30,63.9022,0.0,-0.26074371943008656,1.0
2001-07-31,58.7221,0.0,-0.3277255221618255,1.0
2001-08-31,59.72,0.055625543490378904,-0.22361197239220332,1.0
2001-09-30,58.069,0.0,-0.2337342211454465,1.0
2001-10-31,56.3997,0.0,-0.2643040788294545,1.0
2001-11-30,58.8491,0.19108170939104097,-0.17740391133997846,1.0
2001-12-31,56.7218,0.025127549030315246,-0.14267144893298334,1.0
2002-01-31,58.2504,0.14437614092022505,-0.11714529945619567,1.0
2002-02-28,59.1213,0.21231647761846034,-0.12009697770673633,1.0
2002-03-31,64.4692,0.6295149236266051,-0.030557297376141546,0.0
2002-04-30,65.4308,0.7045309160126695,-0.010562640161017822,0.0
2002-05-31,61.3983,0.5534873935622454,-0.11297590377111255,0.0
2002-06-30,58.5679,0.24008149616325788,-0.08347599926137128,1.0
2002-07-31,56.4814,0.009046517035576825,-0.038157695314029905,1.0
2002-08-31,54.2679,0.0,-0.09129437374413929,1.0
2002-09-30,60.6681,0.5733456359906477,0.04475882140212506,0.0
2002-10-31,65.7301,1.0,0.16543350407892232,0.0
2002-11-30,69.8715,1.0,0.18729938095909704,0.0
