date,flowering_spi3,flowering_drought,monthly_deficit,fwd_12m_chg,spi3_expanding
2008,-0.37816003394196274,0.37816003394196274,1.307306127668536,24.233130495746824,
2009,1.4308560747573824,0.0,1.4203607047851374,41.763666277419546,
2010,1.299299383015339,0.0,-0.0,16.34735337267841,
2011,0.4021047428957748,0.0,1.6685678385159246,-39.22155506898859,
2012,0.47586610576715893,0.0,1.606353649707778,-22.413796435950783,
2013,0.06172904640157165,0.0,0.579791232935187,69.29704661812643,
2014,-0.3476976931713694,0.3476976931713694,0.9805270324099886,-37.36940511730671,
2015,-0.44562691736663423,0.44562691736663423,1.17616537526122,26.176217343630203,
2016,0.026469890253896348,0.0,0.22604108603409784,-14.372879286943864,-0.41427386163204094
2017,-0.6050989722354919,0.6050989722354919,0.9851162393558569,-18.25019991671093,-1.3488249203954021
2018,0.8811023230912072,0.0,-0.0,14.818404892743619,1.017169494769971
2019,-0.9734299501894033,0.9734299501894033,1.1814340658224827,1.8135755724491442,-1.8183554998048912
2020,-1.1341491726014885,1.1341491726014885,2.9258650701972995,93.24772650990269,-1.7615063518649543
2021,1.5841056739558514,0.0,1.0722251253165147,-28.102895199038723,1.9597578590947664
2022,0.6038818900420124,0.0,0.32544793787341136,16.279071883455963,0.5192360896805159
2023,-1.6284332616338881,1.6284332616338881,2.70735821296091,64.94871481870995,-2.1988036183796584
2024,0.7401062444679984,0.0,1.6624633599451641,28.400437692193627,0.7233204397497589
2025,-1.989902749682238,1.989902749682238,2.2796831425634876,-35.03632256828843,-2.33837338287065
