date,settle,price_pos,stu_stress,enso_risk,l3_risk,cot_momentum,climate_risk_score,mult,normalized_mult,action
2013-06-30,120.0,0.033309689958905,0.316557236773098,0.31000000000000005,0.0,0.0,0.10767045601674968,1.5693377994774522,,INSUFFICIENT_HISTORY
2013-07-31,118.5999984741211,0.014393894819074,0.316557236773098,0.3466666666666667,0.0,0.21051447764998726,0.11949940571936321,1.600999985537342,,INSUFFICIENT_HISTORY
2013-08-31,112.0999984741211,0.0,0.316557236773098,0.38,0.0,0.07280564634550708,0.11988691278194188,1.6168897399623932,,INSUFFICIENT_HISTORY
2013-09-30,113.6999969482422,0.0365012979430267,0.316557236773098,0.44333333333333336,0.0,0.060139500498216064,0.1284659801044671,1.5857050688988603,,INSUFFICIENT_HISTORY
2013-10-31,105.4000015258789,0.0,0.316557236773098,0.52,0.0,0.0,0.13743976822463255,1.6340037740190168,,INSUFFICIENT_HISTORY
2013-11-30,110.25,0.159671523954766,0.316557236773098,0.6,0.0,0.10601072909046572,0.15211975991515417,1.4728572659344739,,INSUFFICIENT_HISTORY
2013-12-31,110.6999969482422,0.1678831466405745,0.0,0.6366666666666667,0.0,0.3131553279687881,0.10011727874846728,1.4188059976760812,,INSUFFICIENT_HISTORY
2014-01-31,125.1999969482422,0.5102260173375333,0.0,0.6366666666666667,0.0,0.3650176786149719,0.10175092486851671,1.0552357544578226,,INSUFFICIENT_HISTORY
2014-02-28,179.8000030517578,1.0,0.0,0.6033333333333333,0.0,0.9136948305291392,0.11430877786120286,0.5371503528048909,,INSUFFICIENT_HISTORY
2014-03-31,177.89999389648438,0.7378077416211862,0.0,0.5433333333333333,0.0,1.0,0.10852184309599691,0.8159566890161137,,INSUFFICIENT_HISTORY
2014-04-30,203.0500030517578,0.9152772045512588,0.0,0.4666666666666667,0.0,0.9997747150808377,0.09764658509920576,0.6218353151821413,,INSUFFICIENT_HISTORY
2014-05-31,177.5,0.684993259039509,0.0,0.4033333333333333,0.0,0.947663502317459,0.08702705336959415,0.861109703802887,,INSUFFICIENT_HISTORY
2014-06-30,173.0,0.6444344476490118,0.3812943679917275,0.4033333333333333,0.0,0.927981512847783,0.16316441508862178,0.9463041567485478,0.7677982622824466,CAUTION
2014-07-31,195.0500030517578,0.8431726509681526,0.3812943679917275,0.43,0.0,0.9167290345452398,0.16659019603294795,0.7279509969746085,0.6013756821920151,CAUTION
