date,stu,stu_vintage,stu_z_score,stu_delta,months_of_consumption,settle,fwd_12m,stu_stress
2008-01-31,24.364663170633317,28.713651569737518,,2.6802998586045668,3.4456381883685023,138.14999389648438,118.9000015258789,
2008-02-29,24.364663170633317,28.713651569737518,,2.6802998586045668,3.4456381883685023,164.60000610351562,109.4499969482422,
2008-03-31,24.364663170633317,28.713651569737518,,2.6802998586045668,3.4456381883685023,127.4000015258789,115.75,
2008-04-30,24.364663170633317,28.713651569737518,,2.6802998586045668,3.4456381883685023,134.5500030517578,115.0,
2008-05-31,24.364663170633317,28.713651569737518,,2.6802998586045668,3.4456381883685023,133.89999389648438,137.39999389648438,
2008-06-30,24.364663170633317,28.713651569737518,,2.6802998586045668,3.4456381883685023,150.89999389648438,117.3000030517578,
2008-07-31,24.364663170633317,28.713651569737518,,2.6802998586045668,3.4456381883685023,139.35000610351562,127.8499984741211,
2008-08-31,24.364663170633317,28.713651569737518,,2.6802998586045668,3.4456381883685023,141.89999389648438,120.9000015258789,
2008-09-30,24.364663170633317,28.713651569737518,,2.6802998586045668,3.4456381883685023,130.4499969482422,127.8000030517578,
2008-10-31,24.364663170633317,28.713651569737518,,2.6802998586045668,3.4456381883685023,113.0,135.5,
2008-11-30,24.364663170633317,28.713651569737518,,2.6802998586045668,3.4456381883685023,114.0999984741211,141.75,
2008-12-31,31.45621966043522,24.364663170633317,,-4.348988399104201,2.923759580475998,112.0500030517578,135.9499969482422,
2009-01-31,31.45621966043522,24.364663170633317,,-4.348988399104201,2.923759580475998,118.9000015258789,131.6999969482422,
2009-02-28,31.45621966043522,24.364663170633317,,-4.348988399104201,2.923759580475998,109.4499969482422,129.0500030517578,
2009-03-31,31.45621966043522,24.364663170633317,,-4.348988399104201,2.923759580475998,115.75,136.14999389648438,
2009-04-30,31.45621966043522,24.364663170633317,,-4.348988399104201,2.923759580475998,115.0,135.1999969482422,
2009-05-31,31.45621966043522,24.364663170633317,,-4.348988399104201,2.923759580475998,137.39999389648438,134.25,
2009-06-30,31.45621966043522,24.364663170633317,,-4.348988399104201,2.923759580475998,117.3000030517578,164.1999969482422,
2009-07-31,31.45621966043522,24.364663170633317,,-4.348988399104201,2.923759580475998,127.8499984741211,176.3000030517578,
2009-08-31,31.45621966043522,24.364663170633317,,-4.348988399104201,2.923759580475998,120.9000015258789,176.8000030517578,
2009-09-30,31.45621966043522,24.364663170633317,,-4.348988399104201,2.923759580475998,127.8000030517578,183.0500030517578,
2009-10-31,31.45621966043522,24.364663170633317,,-4.348988399104201,2.923759580475998,135.5,203.4499969482422,
2009-11-30,31.45621966043522,24.364663170633317,,-4.348988399104201,2.923759580475998,141.75,200.9499969482422,
2009-12-31,20.722578235006754,31.45621966043522,,7.091556489801903,3.7747463592522266,135.9499969482422,240.5,
2010-01-31,20.722578235006754,31.45621966043522,,7.091556489801903,3.7747463592522266,131.6999969482422,244.8000030517578,
2010-02-28,20.722578235006754,31.45621966043522,,7.091556489801903,3.7747463592522266,129.0500030517578,271.70001220703125,
2010-03-31,20.722578235006754,31.45621966043522,,7.091556489801903,3.7747463592522266,136.14999389648438,264.1499938964844,
2010-04-30,20.722578235006754,31.45621966043522,,7.091556489801903,3.7747463592522266,135.1999969482422,299.3500061035156,
2010-05-31,20.722578235006754,31.45621966043522,,7.091556489801903,3.7747463592522266,134.25,264.6000061035156,
2010-06-30,20.722578235006754,31.45621966043522,,7.091556489801903,3.7747463592522266,164.1999969482422,265.3500061035156,
2010-07-31,20.722578235006754,31.45621966043522,,7.091556489801903,3.7747463592522266,176.3000030517578,239.5500030517578,
2010-08-31,20.722578235006754,31.45621966043522,,7.091556489801903,3.7747463592522266,176.8000030517578,289.1000061035156,
2010-09-30,20.722578235006754,31.45621966043522,,7.091556489801903,3.7747463592522266,183.0500030517578,228.8999938964844,
2010-10-31,20.722578235006754,31.45621966043522,,7.091556489801903,3.7747463592522266,203.4499969482422,226.9499969482422,
2010-11-30,20.722578235006754,31.45621966043522,,7.091556489801903,3.7747463592522266,200.9499969482422,233.8000030517578,
2010-12-31,21.1352835256959,20.722578235006754,,-10.733641425428466,2.4867093882008104,240.5,226.8500061035156,
2011-01-31,21.1352835256959,20.722578235006754,,-10.733641425428466,2.4867093882008104,244.8000030517578,215.0500030517578,
2011-02-28,21.1352835256959,20.722578235006754,,-10.733641425428466,2.4867093882008104,271.70001220703125,203.1499938964844,
2011-03-31,21.1352835256959,20.722578235006754,,-10.733641425428466,2.4867093882008104,264.1499938964844,182.4499969482422,
2011-04-30,21.1352835256959,20.722578235006754,,-10.733641425428466,2.4867093882008104,299.3500061035156,177.9499969482422,
2011-05-31,21.1352835256959,20.722578235006754,,-10.733641425428466,2.4867093882008104,264.6000061035156,160.64999389648438,
2011-06-30,21.1352835256959,20.722578235006754,,-10.733641425428466,2.4867093882008104,265.3500061035156,170.10000610351562,
2011-07-31,21.1352835256959,20.722578235006754,,-10.733641425428466,2.4867093882008104,239.5500030517578,174.39999389648438,
2011-08-31,21.1352835256959,20.722578235006754,,-10.733641425428466,2.4867093882008104,289.1000061035156,164.5500030517578,
2011-09-30,21.1352835256959,20.722578235006754,,-10.733641425428466,2.4867093882008104,228.8999938964844,173.5,
2011-10-31,21.1352835256959,20.722578235006754,,-10.733641425428466,2.4867093882008104,226.9499969482422,154.64999389648438,
2011-11-30,21.1352835256959,20.722578235006754,,-10.733641425428466,2.4867093882008104,233.8000030517578,142.10000610351562,
2011-12-31,18.026898922502816,21.1352835256959,-0.818954793721082,0.4127052906891464,2.536234023083508,226.8500061035156,143.8000030517578,0.7047386984302705
2012-01-31,18.026898922502816,21.1352835256959,-0.818954793721082,0.4127052906891464,2.536234023083508,215.0500030517578,146.9499969482422,0.7047386984302705
2012-02-29,18.026898922502816,21.1352835256959,-0.818954793721082,0.4127052906891464,2.536234023083508,203.1499938964844,142.64999389648438,0.7047386984302705
2012-03-31,18.026898922502816,21.1352835256959,-0.818954793721082,0.4127052906891464,2.536234023083508,182.4499969482422,137.14999389648438,0.7047386984302705
2012-04-30,18.026898922502816,21.1352835256959,-0.818954793721082,0.4127052906891464,2.536234023083508,177.9499969482422,134.9499969482422,0.7047386984302705
2012-05-31,18.026898922502816,21.1352835256959,-0.818954793721082,0.4127052906891464,2.536234023083508,160.64999389648438,127.0500030517578,0.7047386984302705
2012-06-30,18.026898922502816,21.1352835256959,-0.818954793721082,0.4127052906891464,2.536234023083508,170.10000610351562,120.0,0.7047386984302705
2012-07-31,18.026898922502816,21.1352835256959,-0.818954793721082,0.4127052906891464,2.536234023083508,174.39999389648438,118.5999984741211,0.7047386984302705
2012-08-31,18.026898922502816,21.1352835256959,-0.818954793721082,0.4127052906891464,2.536234023083508,164.5500030517578,112.0999984741211,0.7047386984302705
2012-09-30,18.026898922502816,21.1352835256959,-0.818954793721082,0.4127052906891464,2.536234023083508,173.5,113.6999969482422,0.7047386984302705
2012-10-31,18.026898922502816,21.1352835256959,-0.818954793721082,0.4127052906891464,2.536234023083508,154.64999389648438,105.4000015258789,0.7047386984302705
2012-11-30,18.026898922502816,21.1352835256959,-0.818954793721082,0.4127052906891464,2.536234023083508,142.10000610351562,110.25,0.7047386984302705
2012-12-31,24.661785216178522,18.026898922502816,-0.837582052132645,-3.108384603193084,2.1632278707003376,143.8000030517578,110.6999969482422,0.7093955130331613
2013-01-31,24.661785216178522,18.026898922502816,-0.837582052132645,-3.108384603193084,2.1632278707003376,146.9499969482422,125.1999969482422,0.7093955130331613
2013-02-28,24.661785216178522,18.026898922502816,-0.837582052132645,-3.108384603193084,2.1632278707003376,142.64999389648438,179.8000030517578,0.7093955130331613
2013-03-31,24.661785216178522,18.026898922502816,-0.837582052132645,-3.108384603193084,2.1632278707003376,137.14999389648438,177.89999389648438,0.7093955130331613
2013-04-30,24.661785216178522,18.026898922502816,-0.837582052132645,-3.108384603193084,2.1632278707003376,134.9499969482422,203.0500030517578,0.7093955130331613
2013-05-31,24.661785216178522,18.026898922502816,-0.837582052132645,-3.108384603193084,2.1632278707003376,127.0500030517578,177.5,0.7093955130331613
2013-06-30,24.661785216178522,18.026898922502816,-0.837582052132645,-3.108384603193084,2.1632278707003376,120.0,173.0,0.7093955130331613
2013-07-31,24.661785216178522,18.026898922502816,-0.837582052132645,-3.108384603193084,2.1632278707003376,118.5999984741211,195.0500030517578,0.7093955130331613
2013-08-31,24.661785216178522,18.026898922502816,-0.837582052132645,-3.108384603193084,2.1632278707003376,112.0999984741211,195.75,0.7093955130331613
2013-09-30,24.661785216178522,18.026898922502816,-0.837582052132645,-3.108384603193084,2.1632278707003376,113.6999969482422,193.3500061035156,0.7093955130331613
2013-10-31,24.661785216178522,18.026898922502816,-0.837582052132645,-3.108384603193084,2.1632278707003376,105.4000015258789,188.0,0.7093955130331613
2013-11-30,24.661785216178522,18.026898922502816,-0.837582052132645,-3.108384603193084,2.1632278707003376,110.25,186.6499938964844,0.7093955130331613
2013-12-31,28.624450051085304,24.661785216178522,-0.4598240195366157,6.634886293675706,2.9594142259414227,110.6999969482422,166.60000610351562,0.6149560048841539
2014-01-31,28.624450051085304,24.661785216178522,-0.4598240195366157,6.634886293675706,2.9594142259414227,125.1999969482422,161.89999389648438,0.6149560048841539
2014-02-28,28.624450051085304,24.661785216178522,-0.4598240195366157,6.634886293675706,2.9594142259414227,179.8000030517578,136.75,0.6149560048841539
2014-03-31,28.624450051085304,24.661785216178522,-0.4598240195366157,6.634886293675706,2.9594142259414227,177.89999389648438,132.89999389648438,0.6149560048841539
2014-04-30,28.624450051085304,24.661785216178522,-0.4598240195366157,6.634886293675706,2.9594142259414227,203.0500030517578,136.5500030517578,0.6149560048841539
2014-05-31,28.624450051085304,24.661785216178522,-0.4598240195366157,6.634886293675706,2.9594142259414227,177.5,126.1500015258789,0.6149560048841539
2014-06-30,28.624450051085304,24.661785216178522,-0.4598240195366157,6.634886293675706,2.9594142259414227,173.0,130.64999389648438,0.6149560048841539
2014-07-31,28.624450051085304,24.661785216178522,-0.4598240195366157,6.634886293675706,2.9594142259414227,195.0500030517578,125.25,0.6149560048841539
2014-08-31,28.624450051085304,24.661785216178522,-0.4598240195366157,6.634886293675706,2.9594142259414227,195.75,120.5500030517578,0.6149560048841539
2014-09-30,28.624450051085304,24.661785216178522,-0.4598240195366157,6.634886293675706,2.9594142259414227,193.3500061035156,121.3499984741211,0.6149560048841539
2014-10-31,28.624450051085304,24.661785216178522,-0.4598240195366157,6.634886293675706,2.9594142259414227,188.0,120.9499969482422,0.6149560048841539
2014-11-30,28.624450051085304,24.661785216178522,-0.4598240195366157,6.634886293675706,2.9594142259414227,186.6499938964844,116.9000015258789,0.6149560048841539
2014-12-31,29.308997506166634,28.624450051085304,0.3899402347564283,3.962664834906782,3.4349340061302365,166.60000610351562,126.6999969482422,0.40251494131089294
2015-01-31,29.308997506166634,28.624450051085304,0.3899402347564283,3.962664834906782,3.4349340061302365,161.89999389648438,116.3499984741211,0.40251494131089294
2015-02-28,29.308997506166634,28.624450051085304,0.3899402347564283,3.962664834906782,3.4349340061302365,136.75,112.6500015258789,0.40251494131089294
2015-03-31,29.308997506166634,28.624450051085304,0.3899402347564283,3.962664834906782,3.4349340061302365,132.89999389648438,127.4499969482422,0.40251494131089294
2015-04-30,29.308997506166634,28.624450051085304,0.3899402347564283,3.962664834906782,3.4349340061302365,136.5500030517578,120.8499984741211,0.40251494131089294
