date,settle,price_pos,buy_signal,trailing_yoy,fwd_6m,fwd_12m,fwd_18m,fwd_24m
2008-01-31,138.14999389648438,,,,0.008686299385075813,-0.13934124662379255,-0.07455661149055903,-0.04668836216580052
2008-02-29,164.60000610351562,,,,-0.13791015410263952,-0.3350547212045062,-0.2654921200316004,-0.2159781393288691
2008-03-31,127.4000015258789,,,,0.023940309150967565,-0.09144428089753542,0.0031397293648984803,0.06868125797336089
2008-04-30,134.5500030517578,,,,-0.16016352703810866,-0.14529916468480086,0.00706054943660428,0.0048308724023911065
2008-05-31,133.89999389648438,,,,-0.14787151848319202,0.026138910825535877,0.058625888434202134,0.0026139366651967144
2008-06-30,150.89999389648438,,,,-0.25745521813193184,-0.22266396423962587,-0.09907221705057001,0.08813786341755225
2008-07-31,139.35000610351562,,,,-0.1467528071900156,-0.0825260647699706,-0.05489780280017109,0.2651596363820323
2008-08-31,141.89999389648438,,,,-0.228682158872497,-0.14799149593991456,-0.09055666946751662,0.24594792569711377
2008-09-30,130.4499969482422,0.10269577184602373,0.8973042281539763,,-0.11268683244258415,-0.02031425035246104,0.04369487988952381,0.40321968059827085
2008-10-31,113.0,0.09185447715901959,0.9081455228409804,,0.017699115044247815,0.1991150442477876,0.19646014998444405,0.8004424508693999
2008-11-30,114.0999984741211,0.11091857650564192,0.889081423494358,,0.20420679872005376,0.24233130495746824,0.17659948988035357,0.7611744052198166
2008-12-31,112.05000305175781,0.16379318695019476,0.8362068130498053,,0.04685408172255867,0.21329757470372002,0.46541715730605926,1.1463631722429222
2009-01-31,118.9000015258789,0.2711599418970144,0.7288400581029856,-0.13934124662379255,0.07527331230768897,0.10765345044656982,0.4827586273275668,1.0588730017675938
2009-02-28,109.44999694824219,0.12304073726264719,0.8769592627373528,-0.3350547212045062,0.10461402372675543,0.17907726496131637,0.6153495475688755,1.482412241048444
2009-03-31,115.75,0.27290264112430646,0.7270973588756935,-0.09144428089753542,0.1041036980713419,0.17624184791779163,0.5814255123262013,1.2820733813951133
2009-04-30,115.0,0.25843783838425755,0.7415621616157424,-0.14529916468480086,0.17826086956521747,0.17565214737601909,0.7691304082455843,1.6030435313349183
2009-05-31,137.39999389648438,0.6904531625055197,0.3095468374944803,0.026138910825535877,0.0316594344741592,-0.022925720789023774,0.4625182378074608,0.9257643221066103
2009-06-30,117.30000305175781,0.30279662564450727,0.6972033743554927,-0.22266396423962587,0.15899397622568845,0.39982943458057774,1.0502983268796764,1.262148330775676
2009-07-31,127.8499984741211,0.6220378472165097,0.3779621527834903,-0.0825260647699706,0.030113402581701143,0.37895975874762167,0.9147438871601496,0.8736801400920362
2009-08-31,120.9000015258789,0.4606205811194889,0.5393794188805111,-0.14799149593991456,0.06741109531032041,0.4623655981833332,1.247311900561666,1.3912324437947432
2009-09-30,127.80000305175781,0.6445265336818519,0.35547346631814813,-0.02031425035246104,0.06533639002610103,0.4323161086124878,1.0669013113364803,0.7910797216787391
2009-10-31,135.5,0.7939109576497179,0.20608904235028214,0.1991150442477876,-0.0022140446624192567,0.5014759922379497,1.2092251372953182,0.674907726555293
2009-11-30,141.75,0.9402809653773825,0.05971903462261752,0.24233130495746824,-0.05291005291005291,0.4176366627741954,0.8666667097249781,0.6493827375785384
2009-12-31,135.9499969482422,0.7256438594728557,0.2743561405271443,0.21329757470372002,0.20779698884991604,0.7690327723329133,0.9518206109599074,0.6686282544741813
2010-01-31,131.6999969482422,0.6304590760246629,0.3695409239753371,0.10765345044656982,0.3386484976233015,0.8587699979064061,0.8189066712423725,0.6328778134768827
