date,stu_wmt,stu_wmt_delta,settle,fwd_12m
2010-06-23,19.698112080742327,,164.1999969482422,265.3500061035156
2010-12-17,23.921389047891623,4.223276967149296,240.5,226.8500061035156
2011-06-17,19.698112080742327,-4.223276967149296,265.3500061035156,170.10000610351562
2011-12-13,17.91416084569123,-1.783951235051095,233.8000030517578,142.10000610351562
2012-06-22,19.195105428063343,1.2809445823721113,170.10000610351562,120.0
2012-12-13,19.73290515162018,0.5377997235568373,142.10000610351562,110.25
2013-06-21,21.516935114369296,1.7840299627491163,120.0,173.0
2013-12-13,25.155273052076193,3.638337937706897,110.25,186.6499938964844
2014-06-20,21.742603750592377,-3.4126693014838168,173.0,130.64999389648438
2014-12-19,24.72092015064893,2.9783164000565527,166.60000610351562,126.6999969482422
2015-06-19,21.356409631375097,-3.364510519273832,130.64999389648438,144.10000610351562
2015-12-18,24.747246521478143,3.3908368901030457,126.6999969482422,137.0500030517578
2016-06-17,20.88709998275931,-3.8601465387188334,144.10000610351562,124.0500030517578
2016-12-16,21.733059280284493,0.8459592975251837,137.0500030517578,126.1999969482422
2017-06-16,21.5678065551517,-0.16525272513279177,124.0500030517578,111.5
2017-12-15,18.46852815901562,-3.099278396136082,126.3000030517578,103.25
2018-06-15,20.103174894925804,1.6346467359101844,123.6999969482422,104.5999984741211
2018-12-14,22.651889796991238,2.5487149020654343,103.25,118.5500030517578
2019-06-14,19.97689362132933,-2.6749961756619065,104.5999984741211,96.3000030517578
2019-12-13,21.024158306333813,1.0472646850044818,118.5500030517578,120.6999969482422
2020-06-12,24.94407158836689,3.9199132820330753,96.3000030517578,162.35000610351562
2020-12-11,24.991233267633223,0.047161679266334744,120.6999969482422,233.25
2021-06-21,19.408259633511342,-5.582973634121881,159.35000610351562,233.6000061035156
2021-12-17,18.190971843117275,-1.2172877903940673,226.1000061035156,167.3000030517578
2022-06-23,20.775862068965516,2.584890225848241,233.6000061035156,161.0
2022-12-20,20.312602340051804,-0.46325972891371237,167.3000030517578,188.3000030517578
2023-06-22,18.70142686788108,-1.611175472170725,161.0,228.9499969482422
2023-12-20,15.651327433628317,-3.050099434252761,188.3000030517578,319.75
2024-06-20,15.110704783337436,-0.5406226502908815,228.9499969482422,306.75
2024-12-18,12.415586270088237,-2.6951185132491986,319.75,348.75
2025-06-25,13.47342689961798,1.0578406295297427,306.75,268.29998779296875
